Week,State_Code,State_Name,Disease_Code,Incidence_per_Capita,Disease_Outbreak
3,TN,Gujarat,DEN,0.81,0
5,WB,Gujarat,MAL,1.41,0
25,BH,West Bengal,MAL,0.75,0
32,WB,Tamil Nadu,MAL,3.91,1
23,OR,Karnataka,MAL,4.38,1
52,MH,Uttar Pradesh,MAL,0.27,0
39,BH,Maharashtra,CHK,4.25,1
18,OR,Uttar Pradesh,CHK,3.03,1
52,OR,Maharashtra,CHK,0.81,0
33,RJ,Tamil Nadu,MAL,4.88,1
32,RJ,Uttar Pradesh,MAL,0.2,0
23,TN,Rajasthan,DEN,0.15,0
37,MH,Odisha,CHK,2.26,1
36,UP,Maharashtra,DEN,2.2,1
50,BH,West Bengal,MAL,2.33,1
19,WB,Maharashtra,MAL,0.68,0
25,WB,Tamil Nadu,CHK,0.82,0
16,WB,Gujarat,MAL,0.35,0
35,OR,Odisha,DEN,0.19,0
19,AP,Odisha,CHK,1.25,0
42,GJ,Rajasthan,CHK,0.39,0
16,UP,West Bengal,CHK,4.65,1
38,KA,Gujarat,MAL,0.86,0
50,OR,Tamil Nadu,MAL,3.5,1
14,KA,West Bengal,DEN,1.04,0
33,TN,Odisha,DEN,2.28,1
25,GJ,Karnataka,DEN,2.44,1
34,AP,Gujarat,MAL,0.6,0
32,BH,Karnataka,MAL,2.78,1
41,GJ,Tamil Nadu,DEN,4.4,1
29,BH,Rajasthan,MAL,0.85,0
5,TN,Gujarat,DEN,3.05,1
23,KA,Karnataka,MAL,2.1,1
26,AP,West Bengal,MAL,1.3,0
3,WB,Odisha,DEN,4.44,1
22,UP,West Bengal,CHK,4.72,1
27,TN,Bihar,MAL,3.86,1
4,RJ,Andhra Pradesh,CHK,1.36,0
17,OR,Bihar,MAL,4.83,1
52,BH,Bihar,DEN,0.17,0
43,TN,Tamil Nadu,CHK,4.43,1
23,OR,Karnataka,DEN,4.65,1
24,AP,Maharashtra,DEN,3.31,1
8,GJ,Rajasthan,MAL,0.2,0
40,TN,Gujarat,DEN,1.15,0
17,OR,Gujarat,MAL,1.12,0
26,OR,Bihar,CHK,0.76,0
47,WB,West Bengal,CHK,0.8,0
32,KA,Bihar,DEN,2.61,1
38,UP,Tamil Nadu,MAL,0.62,0
25,MH,Andhra Pradesh,MAL,0.43,0
38,WB,Bihar,DEN,4.41,1
19,KA,Rajasthan,CHK,0.82,0
13,MH,Bihar,MAL,1.28,0
42,WB,Gujarat,MAL,4.56,1
45,KA,Bihar,DEN,0.87,0
17,WB,Tamil Nadu,DEN,2.51,1
13,WB,Karnataka,MAL,0.65,0
37,RJ,West Bengal,DEN,2.64,1
23,TN,Odisha,DEN,1.09,0
52,RJ,Andhra Pradesh,MAL,0.87,0
20,KA,Bihar,MAL,3.02,1
6,OR,Uttar Pradesh,DEN,0.95,0
36,TN,West Bengal,CHK,0.79,0
18,GJ,Gujarat,DEN,4.4,1
10,MH,Odisha,DEN,4.58,1
13,GJ,Maharashtra,CHK,1.15,0
49,GJ,Karnataka,CHK,1.16,0
10,WB,West Bengal,CHK,0.39,0
34,OR,Maharashtra,CHK,0.17,0
36,BH,Maharashtra,DEN,4.1,1
7,GJ,Tamil Nadu,CHK,4.76,1
14,GJ,Odisha,DEN,0.57,0
23,GJ,Bihar,MAL,4.74,1
25,BH,Maharashtra,CHK,2.98,1
44,MH,Rajasthan,CHK,2.58,1
23,UP,Rajasthan,MAL,0.25,0
28,KA,Tamil Nadu,MAL,2.19,1
19,MH,Odisha,DEN,3.38,1
51,MH,Uttar Pradesh,CHK,1.31,0
36,UP,Maharashtra,DEN,1.25,0
48,OR,Maharashtra,DEN,4.53,1
32,KA,Uttar Pradesh,DEN,4.21,1
28,GJ,Maharashtra,MAL,2.53,1
17,GJ,Odisha,CHK,2.23,1
2,TN,Rajasthan,MAL,3.77,1
20,MH,Bihar,CHK,0.47,0
30,MH,Gujarat,MAL,0.5,0
48,TN,Odisha,MAL,0.5,0
2,MH,Gujarat,MAL,2.45,1
44,UP,Bihar,DEN,1.38,0
14,AP,Gujarat,DEN,4.13,1
16,UP,Rajasthan,DEN,3.33,1
11,KA,Tamil Nadu,CHK,4.85,1
7,GJ,Rajasthan,CHK,4.52,1
28,KA,Odisha,CHK,1.27,0
12,AP,Bihar,MAL,1.39,0
38,MH,Maharashtra,DEN,4.67,1
33,BH,Odisha,DEN,4.41,1
9,GJ,Karnataka,MAL,1.31,0
25,OR,Uttar Pradesh,MAL,4.81,1
13,KA,Tamil Nadu,CHK,4.9,1
51,AP,Gujarat,MAL,3.36,1
7,MH,Uttar Pradesh,CHK,1.4,0
10,WB,Gujarat,CHK,1.4,0
14,MH,West Bengal,MAL,0.78,0
1,KA,Karnataka,MAL,2.66,1
45,AP,Rajasthan,MAL,2.49,1
42,GJ,Rajasthan,CHK,0.56,0
33,OR,Karnataka,CHK,2.21,1
41,BH,Bihar,MAL,1.03,0
39,GJ,West Bengal,CHK,4.87,1
4,RJ,Tamil Nadu,MAL,0.99,0
29,WB,West Bengal,DEN,0.35,0
42,OR,West Bengal,CHK,0.58,0
17,MH,Karnataka,DEN,2.35,1
39,MH,West Bengal,DEN,0.7,0
15,TN,Andhra Pradesh,MAL,4.49,1
16,GJ,West Bengal,DEN,1.12,0
28,WB,West Bengal,CHK,2.12,1
11,KA,Gujarat,CHK,3.1,1
45,BH,West Bengal,MAL,1.32,0
52,WB,Odisha,MAL,2.12,1
10,OR,Gujarat,MAL,3.7,1
21,GJ,Karnataka,CHK,0.23,0
35,MH,Karnataka,CHK,2.16,1
5,WB,Andhra Pradesh,MAL,3.83,1
24,TN,West Bengal,MAL,1.48,0
32,TN,Gujarat,MAL,3.18,1
42,KA,Rajasthan,CHK,0.85,0
16,TN,Gujarat,CHK,0.9,0
48,AP,Karnataka,DEN,3.99,1
19,MH,Uttar Pradesh,DEN,1.45,0
30,GJ,Bihar,MAL,2.64,1
32,AP,Odisha,MAL,0.9,0
5,BH,Gujarat,MAL,1.32,0
10,UP,Maharashtra,DEN,3.58,1
32,OR,Tamil Nadu,DEN,3.27,1
4,GJ,Bihar,MAL,1.35,0
7,WB,Bihar,MAL,0.66,0
10,KA,Odisha,MAL,4.8,1
13,RJ,Odisha,DEN,0.97,0
42,KA,Maharashtra,MAL,3.25,1
22,BH,Rajasthan,CHK,0.86,0
38,MH,Odisha,CHK,1.23,0
51,BH,Tamil Nadu,MAL,1.11,0
46,TN,Gujarat,MAL,2.25,1
30,AP,Odisha,CHK,2.83,1
9,OR,Tamil Nadu,MAL,3.79,1
42,MH,Gujarat,MAL,0.67,0
12,GJ,Tamil Nadu,CHK,1.42,0
28,WB,Rajasthan,CHK,1.19,0
48,RJ,West Bengal,DEN,2.97,1
26,TN,Andhra Pradesh,MAL,0.44,0
16,GJ,Tamil Nadu,CHK,0.97,0
13,WB,Tamil Nadu,DEN,0.77,0
48,RJ,Odisha,MAL,3.72,1
20,RJ,Rajasthan,DEN,2.96,1
32,MH,Bihar,MAL,0.63,0
52,OR,Gujarat,MAL,2.76,1
35,UP,Andhra Pradesh,MAL,1.35,0
28,WB,Rajasthan,DEN,0.68,0
20,BH,Gujarat,CHK,4.41,1
27,GJ,West Bengal,CHK,0.99,0
31,BH,Uttar Pradesh,MAL,1.38,0
44,KA,Karnataka,DEN,3.77,1
5,MH,Bihar,CHK,3.23,1
39,RJ,Karnataka,MAL,1.04,0
29,GJ,Gujarat,MAL,4.28,1
4,KA,Uttar Pradesh,MAL,2.3,1
19,BH,Gujarat,CHK,0.38,0
25,WB,West Bengal,MAL,1.28,0
31,OR,Rajasthan,DEN,1.42,0
7,WB,Maharashtra,MAL,1.21,0
51,BH,Tamil Nadu,CHK,3.91,1
36,WB,Karnataka,MAL,3.06,1
9,WB,Rajasthan,MAL,4.23,1
12,OR,Gujarat,MAL,0.86,0
51,GJ,Tamil Nadu,MAL,0.87,0
24,OR,Rajasthan,CHK,3.13,1
35,UP,West Bengal,MAL,4.03,1
44,KA,Rajasthan,CHK,3.53,1
47,UP,Uttar Pradesh,CHK,1.36,0
32,BH,Tamil Nadu,MAL,1.11,0
36,KA,Andhra Pradesh,CHK,3.19,1
10,OR,Tamil Nadu,CHK,0.73,0
17,UP,Andhra Pradesh,DEN,1.44,0
11,WB,Tamil Nadu,CHK,1.31,0
50,GJ,Odisha,DEN,2.15,1
49,RJ,Odisha,DEN,4.3,1
23,AP,Uttar Pradesh,MAL,1.23,0
28,WB,Gujarat,MAL,0.84,0
36,KA,Maharashtra,CHK,0.16,0
35,RJ,Tamil Nadu,MAL,3.97,1
48,BH,Andhra Pradesh,MAL,0.6,0
28,RJ,Karnataka,CHK,4.64,1
48,RJ,Karnataka,MAL,1.04,0
11,UP,Bihar,MAL,0.1,0
47,UP,Andhra Pradesh,CHK,0.68,0
34,OR,Tamil Nadu,CHK,0.6,0
21,GJ,Tamil Nadu,DEN,3.99,1
24,GJ,Bihar,DEN,1.48,0
15,BH,Andhra Pradesh,DEN,3.56,1
35,TN,Andhra Pradesh,MAL,2.21,1
7,GJ,Uttar Pradesh,CHK,3.84,1
20,WB,Maharashtra,DEN,3.69,1
47,GJ,West Bengal,CHK,1.31,0
35,TN,Gujarat,MAL,3.47,1
45,OR,Karnataka,MAL,0.19,0
3,TN,Andhra Pradesh,MAL,4.38,1
12,KA,Maharashtra,DEN,3.39,1
23,KA,West Bengal,MAL,3.12,1
35,WB,Odisha,DEN,0.31,0
21,WB,Gujarat,DEN,2.75,1
7,RJ,Gujarat,DEN,4.08,1
19,OR,Tamil Nadu,DEN,0.37,0
5,GJ,Tamil Nadu,DEN,3.85,1
44,UP,Maharashtra,MAL,3.81,1
42,UP,Odisha,CHK,0.12,0
33,GJ,Uttar Pradesh,MAL,0.85,0
16,AP,Karnataka,DEN,0.27,0
32,AP,Maharashtra,DEN,2.78,1
8,MH,Maharashtra,DEN,0.49,0
38,WB,Karnataka,MAL,4.54,1
1,BH,Karnataka,DEN,4.35,1
51,GJ,Gujarat,CHK,0.32,0
22,RJ,Bihar,DEN,2.48,1
26,BH,Uttar Pradesh,CHK,1.36,0
20,UP,West Bengal,DEN,0.45,0
22,UP,Karnataka,DEN,2.21,1
51,MH,Karnataka,DEN,3.27,1
19,RJ,Tamil Nadu,MAL,3.52,1
36,WB,Karnataka,MAL,1.33,0
32,OR,Rajasthan,CHK,1.27,0
9,RJ,Rajasthan,CHK,2.4,1
36,TN,Odisha,CHK,2.06,1
51,WB,Rajasthan,DEN,0.25,0
37,UP,Andhra Pradesh,MAL,0.21,0
51,GJ,Rajasthan,CHK,0.81,0
37,UP,Tamil Nadu,CHK,0.39,0
37,OR,Uttar Pradesh,DEN,4.09,1
16,TN,Tamil Nadu,MAL,2.58,1
48,BH,Maharashtra,CHK,4.73,1
27,OR,Gujarat,MAL,2.8,1
36,TN,Uttar Pradesh,DEN,4.54,1
47,OR,Uttar Pradesh,CHK,3.9,1
30,KA,West Bengal,DEN,0.94,0
25,WB,Tamil Nadu,MAL,2.98,1
3,TN,Karnataka,MAL,1.4,0
3,RJ,West Bengal,MAL,4.21,1
43,AP,Gujarat,DEN,0.71,0
42,KA,West Bengal,MAL,1.04,0
40,BH,Maharashtra,DEN,4.86,1
37,GJ,Odisha,DEN,0.39,0
4,AP,Bihar,MAL,1.43,0
12,AP,Odisha,MAL,0.72,0
19,MH,West Bengal,MAL,3.27,1
15,WB,Gujarat,DEN,0.48,0
5,AP,Gujarat,DEN,0.57,0
23,MH,Rajasthan,DEN,1.31,0
43,GJ,Gujarat,MAL,0.83,0
30,TN,Gujarat,MAL,3.29,1
42,WB,Odisha,DEN,3.63,1
17,WB,West Bengal,CHK,1.04,0
47,GJ,Gujarat,CHK,1.11,0
16,BH,West Bengal,CHK,3.46,1
46,MH,Odisha,MAL,2.97,1
14,AP,Tamil Nadu,DEN,0.49,0
49,WB,Bihar,DEN,3.75,1
19,UP,West Bengal,CHK,1.3,0
44,BH,Tamil Nadu,DEN,1.32,0
18,KA,Andhra Pradesh,MAL,0.34,0
52,KA,Bihar,CHK,4.35,1
49,GJ,Karnataka,DEN,3.71,1
10,UP,West Bengal,MAL,4.42,1
30,KA,Uttar Pradesh,CHK,4.8,1
32,AP,Karnataka,DEN,0.37,0
31,RJ,Uttar Pradesh,CHK,1.36,0
3,UP,Rajasthan,CHK,4.8,1
5,OR,Bihar,DEN,4.57,1
17,BH,Tamil Nadu,MAL,4.05,1
32,BH,Uttar Pradesh,DEN,2.73,1
33,MH,Maharashtra,DEN,4.48,1
38,WB,Karnataka,DEN,3.26,1
39,BH,Andhra Pradesh,MAL,4.63,1
11,KA,Andhra Pradesh,CHK,0.77,0
23,WB,Maharashtra,MAL,1.41,0
47,RJ,West Bengal,MAL,2.66,1
2,AP,Rajasthan,CHK,0.42,0
6,UP,Tamil Nadu,CHK,0.54,0
10,UP,Uttar Pradesh,CHK,3.95,1
45,MH,Odisha,DEN,2.86,1
18,MH,Bihar,MAL,0.67,0
5,KA,Karnataka,CHK,2.68,1
42,TN,Andhra Pradesh,CHK,2.89,1
45,BH,Tamil Nadu,CHK,0.96,0
16,TN,Odisha,CHK,4.42,1
50,TN,Gujarat,DEN,4.45,1
3,UP,Odisha,DEN,4.03,1
31,WB,Rajasthan,CHK,0.67,0
16,UP,Uttar Pradesh,DEN,3.41,1
41,AP,Maharashtra,DEN,4.58,1
34,MH,Maharashtra,DEN,0.27,0
7,KA,Karnataka,CHK,2.54,1
20,BH,Karnataka,CHK,0.97,0
5,AP,Maharashtra,DEN,0.2,0
24,MH,Uttar Pradesh,DEN,0.45,0
48,OR,Tamil Nadu,MAL,0.7,0
45,WB,Karnataka,CHK,0.63,0
12,MH,Bihar,MAL,1.44,0
25,RJ,Maharashtra,MAL,2.22,1
20,KA,Odisha,DEN,0.55,0
11,GJ,Uttar Pradesh,MAL,0.14,0
34,MH,Rajasthan,CHK,2.47,1
34,AP,Bihar,MAL,1.24,0
40,UP,Bihar,DEN,1.34,0
22,WB,West Bengal,MAL,1.05,0
2,KA,Tamil Nadu,DEN,3.06,1
42,GJ,Maharashtra,DEN,4.07,1
6,BH,Odisha,CHK,0.67,0
16,RJ,Odisha,CHK,2.21,1
33,KA,Rajasthan,MAL,3.87,1
6,BH,Rajasthan,MAL,0.75,0
39,AP,Maharashtra,CHK,3.78,1
39,BH,Odisha,DEN,0.95,0
31,AP,Andhra Pradesh,MAL,4.15,1
45,OR,Andhra Pradesh,DEN,3.65,1
39,KA,Odisha,MAL,0.55,0
6,MH,Tamil Nadu,DEN,3.47,1
44,AP,Uttar Pradesh,DEN,1.25,0
47,AP,Odisha,DEN,2.92,1
41,WB,Odisha,CHK,0.78,0
29,BH,Maharashtra,MAL,3.26,1
30,GJ,West Bengal,MAL,1.38,0
48,OR,Andhra Pradesh,CHK,1.35,0
43,BH,Odisha,MAL,0.72,0
48,KA,Bihar,CHK,2.48,1
33,UP,Uttar Pradesh,DEN,0.64,0
13,RJ,Andhra Pradesh,DEN,0.16,0
28,AP,Uttar Pradesh,DEN,2.56,1
26,GJ,Bihar,MAL,4.23,1
30,AP,Bihar,CHK,3.24,1
16,WB,Uttar Pradesh,MAL,3.12,1
3,RJ,Tamil Nadu,MAL,1.36,0
51,AP,Karnataka,CHK,4.17,1
52,OR,West Bengal,DEN,3.75,1
44,KA,West Bengal,CHK,4.91,1
19,WB,Rajasthan,DEN,4.08,1
11,KA,Odisha,MAL,4.63,1
3,MH,Maharashtra,DEN,4.46,1
32,WB,Gujarat,CHK,3.45,1
45,KA,Odisha,MAL,4.0,1
49,OR,Maharashtra,CHK,2.2,1
21,AP,Uttar Pradesh,DEN,1.02,0
43,RJ,Tamil Nadu,MAL,0.24,0
26,BH,Andhra Pradesh,CHK,3.15,1
7,RJ,Gujarat,DEN,2.41,1
40,RJ,West Bengal,CHK,3.16,1
33,RJ,Uttar Pradesh,CHK,2.81,1
13,RJ,Bihar,CHK,0.74,0
47,OR,Tamil Nadu,MAL,0.96,0
27,GJ,Bihar,DEN,1.18,0
34,KA,Maharashtra,CHK,2.74,1
26,OR,Rajasthan,MAL,3.4,1
2,AP,Tamil Nadu,DEN,1.17,0
1,BH,Tamil Nadu,MAL,1.17,0
39,GJ,Gujarat,MAL,3.36,1
33,OR,West Bengal,DEN,2.87,1
8,OR,Bihar,MAL,2.31,1
41,MH,Rajasthan,CHK,3.82,1
31,MH,Maharashtra,DEN,0.37,0
50,OR,Rajasthan,MAL,3.94,1
43,KA,Uttar Pradesh,DEN,0.61,0
37,TN,Uttar Pradesh,CHK,2.98,1
49,KA,Odisha,CHK,4.62,1
8,UP,Rajasthan,DEN,4.76,1
27,TN,Tamil Nadu,MAL,1.4,0
23,BH,West Bengal,MAL,4.37,1
11,KA,Maharashtra,DEN,1.45,0
8,AP,Maharashtra,CHK,4.18,1
18,MH,Bihar,CHK,0.13,0
24,WB,Rajasthan,CHK,2.04,1
32,BH,Uttar Pradesh,DEN,3.04,1
37,TN,Tamil Nadu,MAL,0.13,0
52,BH,Karnataka,MAL,1.34,0
1,RJ,Maharashtra,CHK,0.16,0
2,TN,West Bengal,CHK,1.18,0
28,KA,Odisha,CHK,2.86,1
51,MH,Uttar Pradesh,MAL,0.56,0
26,TN,Gujarat,MAL,0.98,0
29,RJ,Rajasthan,CHK,4.91,1
52,UP,Maharashtra,CHK,3.51,1
33,BH,West Bengal,DEN,4.27,1
23,OR,Uttar Pradesh,MAL,1.45,0
47,GJ,Gujarat,DEN,0.31,0
38,KA,Odisha,CHK,0.76,0
4,UP,Uttar Pradesh,MAL,3.03,1
41,MH,Tamil Nadu,CHK,3.61,1
26,RJ,Uttar Pradesh,MAL,0.17,0
18,UP,Odisha,DEN,0.74,0
33,WB,Andhra Pradesh,MAL,0.28,0
35,TN,Odisha,DEN,3.62,1
33,WB,Karnataka,CHK,0.62,0
20,OR,Tamil Nadu,DEN,3.7,1
38,WB,Karnataka,MAL,2.66,1
28,UP,Odisha,DEN,3.79,1
30,UP,Bihar,MAL,4.0,1
33,MH,Tamil Nadu,DEN,4.51,1
1,BH,Odisha,DEN,3.02,1
20,UP,Gujarat,MAL,0.42,0
32,BH,Uttar Pradesh,DEN,1.49,0
12,TN,Gujarat,CHK,0.71,0
24,BH,Odisha,MAL,3.52,1
31,RJ,Rajasthan,DEN,4.22,1
17,UP,Andhra Pradesh,DEN,4.71,1
41,UP,Rajasthan,CHK,0.91,0
38,TN,West Bengal,DEN,0.78,0
4,TN,Rajasthan,CHK,3.98,1
4,BH,Uttar Pradesh,CHK,4.72,1
21,UP,Gujarat,CHK,0.84,0
39,GJ,Bihar,CHK,4.12,1
37,KA,Rajasthan,MAL,0.15,0
15,WB,Karnataka,CHK,0.88,0
21,RJ,Andhra Pradesh,DEN,0.4,0
36,KA,Gujarat,CHK,0.36,0
18,KA,Andhra Pradesh,CHK,2.21,1
3,KA,Bihar,MAL,3.12,1
31,RJ,West Bengal,DEN,1.01,0
30,GJ,Andhra Pradesh,CHK,1.04,0
38,UP,West Bengal,DEN,0.43,0
1,AP,Maharashtra,DEN,4.78,1
7,GJ,Andhra Pradesh,DEN,2.67,1
40,AP,Gujarat,CHK,3.11,1
41,WB,Karnataka,CHK,0.66,0
1,RJ,Odisha,CHK,4.36,1
52,BH,Maharashtra,DEN,1.01,0
36,GJ,Maharashtra,CHK,0.35,0
21,AP,West Bengal,MAL,1.0,0
44,WB,West Bengal,MAL,4.11,1
23,OR,Rajasthan,CHK,0.61,0
40,GJ,Tamil Nadu,MAL,2.57,1
1,TN,Karnataka,CHK,1.15,0
38,GJ,Maharashtra,DEN,2.94,1
1,RJ,Maharashtra,DEN,4.61,1
37,AP,West Bengal,DEN,2.25,1
30,TN,Andhra Pradesh,DEN,0.41,0
45,KA,Rajasthan,MAL,0.94,0
47,UP,Maharashtra,CHK,4.25,1
29,RJ,Tamil Nadu,DEN,0.58,0
4,RJ,Uttar Pradesh,DEN,4.14,1
17,OR,Bihar,MAL,0.15,0
35,MH,Bihar,MAL,0.61,0
2,WB,West Bengal,CHK,1.03,0
14,TN,Rajasthan,CHK,0.48,0
17,TN,Andhra Pradesh,MAL,4.72,1
17,MH,Odisha,DEN,1.21,0
12,WB,Uttar Pradesh,DEN,2.56,1
51,TN,Gujarat,DEN,0.28,0
49,BH,West Bengal,DEN,0.81,0
30,TN,Karnataka,CHK,1.18,0
29,WB,Karnataka,CHK,0.63,0
17,BH,Bihar,MAL,0.26,0
52,RJ,Uttar Pradesh,CHK,0.25,0
24,OR,Gujarat,MAL,2.93,1
47,BH,Bihar,DEN,3.15,1
32,MH,Rajasthan,DEN,4.53,1
49,WB,West Bengal,CHK,0.16,0
47,UP,Andhra Pradesh,CHK,0.47,0
24,TN,Maharashtra,MAL,2.33,1
17,AP,Tamil Nadu,MAL,2.31,1
43,OR,Andhra Pradesh,DEN,0.75,0
39,KA,Andhra Pradesh,DEN,4.51,1
23,WB,Maharashtra,MAL,0.13,0
31,AP,Rajasthan,MAL,1.13,0
25,OR,West Bengal,MAL,0.29,0
39,MH,West Bengal,DEN,4.35,1
43,OR,Gujarat,DEN,1.29,0
35,OR,Maharashtra,CHK,0.2,0
16,TN,Tamil Nadu,DEN,3.6,1
18,MH,Maharashtra,CHK,3.84,1
37,MH,Gujarat,MAL,2.83,1
12,BH,Rajasthan,CHK,4.41,1
12,AP,Rajasthan,DEN,4.59,1
9,TN,Tamil Nadu,MAL,0.23,0
32,OR,West Bengal,CHK,1.22,0
42,AP,Gujarat,MAL,0.31,0
27,WB,Tamil Nadu,MAL,0.49,0
7,WB,Rajasthan,CHK,1.04,0
42,AP,Uttar Pradesh,DEN,2.19,1
16,GJ,Rajasthan,MAL,0.28,0
32,BH,Andhra Pradesh,MAL,0.22,0
29,RJ,Bihar,MAL,2.51,1
32,WB,Gujarat,CHK,4.95,1
33,AP,Rajasthan,MAL,0.75,0
16,UP,Karnataka,CHK,0.83,0
52,AP,Andhra Pradesh,MAL,0.97,0
43,UP,Andhra Pradesh,DEN,1.42,0
22,RJ,Gujarat,CHK,0.66,0
1,UP,Maharashtra,MAL,3.14,1
10,BH,Maharashtra,DEN,4.79,1
1,GJ,Gujarat,DEN,0.21,0
42,UP,Bihar,DEN,0.42,0
12,UP,Odisha,CHK,2.87,1
35,GJ,Odisha,MAL,2.46,1
18,GJ,Odisha,CHK,0.53,0
15,KA,Maharashtra,DEN,0.46,0
23,RJ,Gujarat,CHK,1.07,0
